sensors/imu,2014-11-23 06:07:56,11.26,-22.53,248.83,76.67,-16.67,62.17,7.84,-2.83,-5.19
sensors/imu,2014-11-23 06:07:56,13.31,-21.5,249.86,77.0,-16.67,61.83,7.85,-2.8,-5.19
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.0,-16.67,61.83,7.84,-2.83,-5.16
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,250.88,77.17,-16.5,61.5,7.84,-2.82,-5.16
sensors/imu,2014-11-23 06:07:56,14.34,-22.53,248.83,77.33,-16.5,61.83,7.84,-2.84,-5.16
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,248.83,77.17,-16.83,62.17,7.84,-2.89,-5.16
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,250.88,77.0,-16.83,61.83,7.84,-2.88,-5.16
sensors/imu,2014-11-23 06:07:56,11.26,-22.53,248.83,76.67,-16.5,62.17,7.85,-2.87,-5.18
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.17,-16.5,61.83,7.85,-2.84,-5.18
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,248.83,76.83,-16.5,61.67,7.85,-2.84,-5.17
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,76.67,-16.67,62.0,7.85,-2.84,-5.2
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,249.86,77.17,-16.33,61.83,7.85,-2.83,-5.19
sensors/imu,2014-11-23 06:07:56,11.26,-20.48,250.88,77.17,-16.67,62.0,7.84,-2.83,-5.19
sensors/imu,2014-11-23 06:07:56,12.29,-20.48,249.86,76.5,-16.67,62.0,7.84,-2.8,-5.13
sensors/imu,2014-11-23 06:07:56,14.34,-23.55,250.88,77.33,-16.83,62.0,7.84,-2.8,-5.09
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.0,-16.83,62.33,7.85,-2.85,-5.12
sensors/imu,2014-11-23 06:07:57,13.31,-22.53,249.86,77.33,-16.67,62.0,7.85,-2.84,-5.12
sensors/imu,2014-11-23 06:07:57,11.26,-22.53,250.88,77.5,-16.5,62.0,7.85,-2.86,-5.12
sensors/imu,2014-11-23 06:07:57,11.26,-22.53,250.88,77.17,-16.83,62.0,7.85,-2.83,-5.12
