sensors/logging_button,2015-03-21 07:12:46,START
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.49,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.48,-3.57
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.51,-3.57
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.5,-3.55
sensors/encoder,2015-03-21 07:12:48,0.4991239751552795,45919.40571428571
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.51,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.52,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.49,-3.57
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.54,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.58,-3.55
sensors/encoder,2015-03-21 07:12:48,0.4519749719887955,46101.44714285714
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.59,-3.53
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.53,-3.53
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.48,-3.52
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.49,-3.52
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.55,-3.53
sensors/encoder,2015-03-21 07:12:48,0.45825236209335224,46283.48857142858
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.55,-3.54
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.53,-3.57
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.48,-3.58
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.48,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.51,-3.57
sensors/encoder,2015-03-21 07:12:48,0.4511216504854369,46465.53
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.52,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.55,-2.47,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.45,-3.54
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.51,-3.55
sensors/encoder,2015-03-21 07:12:48,0.457329131652661,46647.57142857142
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.44,-3.58
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.37,-3.58
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.4,-3.59
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.45,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.49,-3.66
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.55,-2.46,-3.67
sensors/encoder,2015-03-21 07:12:49,0.45911385154061624,46829.612857142856
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.46,-3.67
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.47,-3.64
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.53,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.55,-2.49,-3.62
sensors/encoder,2015-03-21 07:12:49,0.4701165428571428,47011.654285714285
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.53,-2.48,-3.61
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.52,-2.46,-3.6
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.51,-2.52,-3.58
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.48,-3.59
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.47,-3.6
sensors/encoder,2015-03-21 07:12:49,0.44522354447439355,47193.69571428571
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.49,-3.59
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.53,-3.57
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.52,-3.58
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.48,-3.56
sensors/encoder,2015-03-21 07:12:49,0.5445487027914614,47375.73714285714
